,id,lang
151,1497566478132031539,en
152,545659923,en
153,1508674326148620297,en
154,4746728178,en
155,475474955,en
156,466303565,en
157,2793262198,en
158,1144450981070946304,en
159,855356208965746688,en
160,1516787764301164550,en
161,636791961,en
162,456034260,en
163,1521185241989328897,en
164,1496855619462041601,en
166,1304413129464451073,en
167,365525724,en
168,1276469083429457920,en
169,1519116638913769480,en
170,2488541,en
171,2780865228,en
172,463373373,en
173,24017980,en
174,15764571,en
175,1398621792990756869,en
176,17392805,en
177,1319050713465409536,en
179,1441415444112592897,en
180,1312261130404782081,en
181,1519313523649568768,en
182,228908097,en
183,1464541876585959426,en
184,1320936572,en
185,86141342,en
186,1083803241626820609,en
188,1432891281944940544,en
189,1217072335,en
190,843433646962999296,en
191,552788779,en
192,110916514,en
193,53521379,en
194,785516514367508480,en
195,113734460,en
196,12011422,en
197,1486764450153701382,en
198,1305265926540079104,en
199,938221924123103232,en
201,1480491259726901253,en
203,1460271957090488329,en
204,2468493008,en
205,938609263458635776,en
206,621501666,en
207,1237790695622148096,en
208,159648728,en
209,1295803883642474496,en
210,434237724,en
211,3125383689,en
212,64294556,en
213,1216558925660729344,en
214,21908111,en
215,700883031238844416,en
216,1323289868873703424,en
217,1307709357136711680,en
218,126134277,en
219,1276505113415127040,en
220,470762287,en
221,1290203400,en
222,787694850183278592,en
223,374651262,en
224,135594042,en
225,1444055799425347584,en
226,18300968,en
228,1347519903390179328,en
229,55235304,en
230,469035582,en
231,66732694,en
232,1138904250229149696,en
233,36003748,en
234,1514284721634791438,en
235,488882605,en
236,276557973,en
237,1330946768410869760,en
238,296052524,en
239,2571659857,en
240,1425210656291176448,en
241,752461108208758784,en
242,1519043458819710976,en
243,1426281559733063680,en
244,2771704583,en
245,3100677092,en
246,213451563,en
247,2314945207,en
248,854313612915097600,en
249,155592800,en
250,184440525,en
251,589751856,en
252,20599079,en
253,368070942,en
254,302039432,en
255,62086811,en
256,1519755379839709186,en
257,2619148919,en
258,1372235619057995779,en
259,2225515496,en
260,1310453678206103552,en
261,2648989015,en
262,2563016869,en
263,16186671,en
264,15829896,en
265,91478624,en
266,1226729000984285184,en
267,1385444238494683136,en
268,15922214,en
269,5692542,en
270,16829934,en
271,1125277807070916608,en
272,17070252,en
273,1939509312,en
274,17632146,en
275,1156752976289177605,en
276,1417974415866961926,en
277,758054617036967937,en
279,20681253,en
280,964197501459943424,en
281,1022909846033756160,en
282,1490281408060928000,en
283,52787252,en
285,86412962,en
286,1030148518936174593,en
287,499364014,en
288,129039935,en
289,891088501734768642,en
290,17367006,en
291,1194383946244640771,en
292,39247666,en
293,1419800995744288780,en
294,66617919,en
295,821264456105660416,en
296,1394711914035367936,en
297,2299826742,en
298,1449419998187884548,en
299,871563386797998082,en
300,1427753049414533122,en
301,2926247928,en
302,1218267856741249026,en
303,215479216,en
